precision,seq,conc,tp,ep,dp_attention,gpus,old_date,new_date,old_tput_per_gpu,new_tput_per_gpu,gain_x,improvement_pct,old_run_url,new_run_url,note
int4,1024/1024,16,8,1,False,8,2026-02-18,2026-03-27,45.5787579385609,168.28375534197002,3.6921531641738152,269.21531641738153,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,1024/1024,16,8,1,False,8,2026-02-18,2026-03-27,45.5787579385609,167.74082592887092,3.680241268421172,268.0241268421172,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
int4,1024/8192,8,8,1,False,8,2026-02-18,2026-03-27,15.474230006655546,56.10424388897671,3.625656582902412,262.5656582902412,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,1024/8192,8,8,1,False,8,2026-02-18,2026-03-27,15.474230006655546,56.012124295694214,3.6197034858343913,261.97034858343915,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
fp4,8192/1024,64,8,1,False,8,2026-03-01,2026-03-26,348.5322178041199,1647.2603593393117,4.72627859116627,372.62785911662706,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23614589869/attempts/1,fp4_nearest_outside_target
fp4,8192/1024,64,8,1,False,8,2026-03-01,2026-03-27,348.5322178041199,1681.3056273299258,4.823960430179925,382.3960430179925,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,fp4_nearest_outside_target
fp4,8192/1024,64,8,1,False,8,2026-03-01,2026-05-31,348.5322178041199,1903.4867724133223,5.461437064286289,446.14370642862895,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/26696253037/attempts/1,fp4_nearest_outside_target
fp4,8192/1024,64,8,1,False,8,2026-03-01,2026-05-17,348.5322178041199,1949.1666674574062,5.59250068684573,459.25006868457297,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/25956503208/attempts/1,fp4_nearest_outside_target
fp4,1024/1024,64,8,1,False,8,2026-03-01,2026-03-27,95.64094077730121,572.4456018070981,5.9853614692062775,498.53614692062774,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,fp4_nearest_outside_target
fp4,1024/1024,64,8,1,False,8,2026-03-01,2026-03-26,95.64094077730121,577.4982127441294,6.0381904240029085,503.81904240029087,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23614589869/attempts/1,fp4_nearest_outside_target
fp4,1024/1024,64,8,1,False,8,2026-03-01,2026-05-31,95.64094077730121,599.1069309344642,6.264126283841954,526.4126283841954,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/26696253037/attempts/1,fp4_nearest_outside_target
fp4,8192/1024,32,8,1,False,8,2026-03-01,2026-03-27,191.1632132790485,1253.4037863607255,6.556720641283019,555.6720641283019,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,fp4_nearest_outside_target
fp4,8192/1024,32,8,1,False,8,2026-03-01,2026-03-26,191.1632132790485,1255.0358778411032,6.565258327234109,556.5258327234109,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23614589869/attempts/1,fp4_nearest_outside_target
fp4,1024/1024,64,8,1,False,8,2026-03-01,2026-05-17,95.64094077730121,646.7189211816444,6.7619464627342145,576.1946462734214,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22555187591/attempts/2,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/25956503208/attempts/1,fp4_nearest_outside_target
